CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,Country,Tenure,AvgOrderValue
12380,22,8,7210.65,2010-02-15 12:05:00,2011-11-18 11:27:00,Belgium,640,901.33
12381,5,3,1474.81,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,115,491.6
12383,185,5,1628.56,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,167,325.71
12384,29,2,425.27000000000004,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,92,212.64
12385,379,1,1668.4,2010-11-25 15:14:00,2010-11-25 15:14:00,Belgium,0,1668.4
12386,338,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,29,200.95
12387,415,1,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,Australia,0,143.94
12388,16,8,3901.11,2010-05-06 12:54:00,2011-11-24 12:30:00,Australia,566,487.64
12389,403,3,1433.33,2010-02-22 10:15:00,2010-11-02 11:52:00,Australia,253,477.78
12390,80,1,504.84000000000003,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,0,504.84
12391,22,6,2724.84,2010-02-15 10:12:00,2011-11-18 12:07:00,Cyprus,641,454.14
12392,591,1,234.75000000000003,2010-04-27 14:04:00,2010-04-27 14:04:00,Australia,0,234.75
12393,72,6,2399.4500000000003,2010-10-07 13:49:00,2011-09-28 15:41:00,Australia,356,399.91
12394,64,2,1080.48,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium,153,540.24
12395,19,15,4241.17,2010-04-16 10:16:00,2011-11-20 15:21:00,Belgium,583,282.74
12396,674,1,931.43,2010-02-03 13:22:00,2010-02-03 13:22:00,RSA,0,931.43
12397,36,2,2214.9,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,99,1107.45
12398,46,1,1435.66,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,0,1435.66
12399,119,7,1842.3,2010-03-05 08:45:00,2011-08-12 13:15:00,Belgium,525,263.19
12400,414,1,205.25,2010-10-21 13:45:00,2010-10-21 13:45:00,Australia,0,205.25
12401,303,1,69.3,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,0,69.3
12402,323,6,1136.9,2010-02-07 12:41:00,2011-01-20 13:49:00,Belgium,347,189.48
12403,50,2,947.36,2010-07-06 11:39:00,2011-10-21 10:51:00,Denmark,471,473.68
12405,149,1,1390.39,2011-07-14 08:52:00,2011-07-14 08:52:00,Finland,0,1390.39
12406,22,5,6390.36,2010-01-11 14:04:00,2011-11-17 19:22:00,Denmark,675,1278.07
12407,50,5,1507.1200000000001,2011-03-20 13:21:00,2011-10-21 10:11:00,Belgium,214,301.42
12408,33,8,3905.77,2010-07-29 13:27:00,2011-11-07 12:27:00,Belgium,465,488.22
12409,79,7,23419.29,2010-05-23 15:21:00,2011-09-22 10:38:00,Switzerland,486,3345.61
12410,309,3,773.71,2010-07-25 13:26:00,2011-02-04 10:39:00,Switzerland,193,257.9
12411,410,1,346.9,2010-10-26 09:25:00,2010-10-26 09:25:00,Australia,0,346.9
12412,75,6,2404.93,2010-06-18 13:22:00,2011-09-26 10:16:00,Denmark,464,400.82
12413,67,4,871.45,2010-11-02 13:26:00,2011-10-04 09:00:00,France,335,217.86
12414,217,4,532.41,2010-09-02 12:22:00,2011-05-06 14:51:00,Austria,246,133.1
12415,24,24,144033.37,2010-06-30 08:30:00,2011-11-15 14:22:00,Australia,503,6001.39
12416,657,1,202.56,2010-02-21 10:19:00,2010-02-21 10:19:00,Australia,0,202.56
12417,3,20,5998.41,2009-12-06 10:30:00,2011-12-06 14:52:00,Belgium,730,299.92
12418,113,4,2021.2,2010-03-19 14:47:00,2011-08-19 11:08:00,Switzerland,517,505.3
12419,386,2,391.01,2010-10-22 10:40:00,2010-11-19 10:04:00,Spain,27,195.5
12420,64,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,Cyprus,0,600.39
12421,16,6,874.6,2010-07-22 13:57:00,2011-11-24 09:07:00,Spain,489,145.77
12422,96,12,3639.35,2009-12-18 12:44:00,2011-09-05 09:48:00,Switzerland,625,303.28
12423,1,10,2301.39,2010-08-31 09:31:00,2011-12-09 10:10:00,Belgium,465,230.14
12424,163,4,3340.03,2010-06-09 15:15:00,2011-06-30 12:06:00,Australia,385,835.01
12425,78,2,1741.41,2010-09-17 14:10:00,2011-09-22 17:31:00,Portugal,370,870.7
12426,195,2,1201.21,2010-02-15 08:41:00,2011-05-29 12:26:00,Germany,468,600.6
12427,22,3,699.8,2010-12-03 10:44:00,2011-11-18 08:56:00,Germany,349,233.27
12428,26,8,6405.26,2011-03-01 09:33:00,2011-11-14 08:22:00,Finland,257,800.66
12429,9,8,5842.41,2010-06-11 13:28:00,2011-11-30 17:22:00,Denmark,537,730.3
12430,43,1,216.4,2011-10-27 15:09:00,2011-10-27 15:09:00,Norway,0,216.4
12431,36,25,10102.22,2010-01-15 09:04:00,2011-11-04 11:55:00,Australia,658,404.09
12432,43,4,4359.32,2011-06-20 13:27:00,2011-10-28 11:43:00,Norway,129,1089.83
12433,1,10,16794.14,2010-08-20 09:23:00,2011-12-09 10:02:00,Norway,476,1679.41
12434,85,3,1103.43,2010-11-23 13:38:00,2011-09-16 12:38:00,Australia,296,367.81
12435,80,6,13925.93,2009-12-02 13:58:00,2011-09-21 09:06:00,Denmark,657,2320.99
12436,100,1,429.01000000000005,2011-09-01 12:09:00,2011-09-01 12:09:00,Norway,0,429.01
12437,2,38,11282.4,2009-12-02 16:24:00,2011-12-08 11:35:00,France,735,296.91
12438,14,2,2466.85,2011-07-22 13:29:00,2011-11-25 13:28:00,Norway,125,1233.42
12439,683,2,1142.88,2009-12-14 08:40:00,2010-01-26 12:11:00,Cyprus,43,571.44
12440,462,2,739.2,2009-12-22 12:03:00,2010-09-03 13:11:00,Austria,255,369.6
12441,367,1,155.55,2010-12-08 10:45:00,2010-12-08 10:45:00,France,0,155.55
12442,3,1,144.06,2011-12-06 14:22:00,2011-12-06 14:22:00,Spain,0,144.06
12443,732,1,365.31,2009-12-07 15:42:00,2009-12-07 15:42:00,Norway,0,365.31
12444,21,5,4085.46,2011-06-21 14:00:00,2011-11-18 13:23:00,Norway,149,817.09
12445,22,2,378.98,2010-10-15 12:28:00,2011-11-17 18:43:00,Spain,398,189.49
12446,58,1,1002.3100000000001,2011-10-13 12:50:00,2011-10-13 12:50:00,RSA,0,1002.31
12447,243,1,431.49,2011-04-10 13:25:00,2011-04-10 13:25:00,Belgium,0,431.49
12448,44,1,365.45,2011-10-26 13:46:00,2011-10-26 13:46:00,Spain,0,365.45
12449,22,5,4274.89,2010-09-27 09:37:00,2011-11-17 13:46:00,Belgium,416,854.98
12450,156,5,688.2,2010-08-22 13:11:00,2011-07-06 14:41:00,Spain,318,137.64
12451,11,8,12629.88,2010-06-28 12:58:00,2011-11-29 08:40:00,Switzerland,518,1578.74
12452,17,1,348.57,2011-11-23 08:05:00,2011-11-23 08:05:00,Switzerland,0,348.57
12453,134,1,707.09,2011-07-28 14:08:00,2011-07-28 14:08:00,Austria,0,707.09
12454,56,4,16459.78,2010-10-14 17:33:00,2011-10-14 17:13:00,Spain,364,4114.94
12455,73,9,5722.95,2009-12-18 12:33:00,2011-09-27 15:31:00,Cyprus,648,635.88
12456,44,3,2581.04,2011-03-30 09:12:00,2011-10-26 14:41:00,Switzerland,210,860.35
12457,66,7,2555.91,2010-09-30 17:59:00,2011-10-04 13:13:00,Switzerland,368,365.13
12458,71,4,1502.49,2010-08-09 10:33:00,2011-09-29 15:25:00,Switzerland,416,375.62
12459,605,1,398.36,2010-04-13 14:53:00,2010-04-13 14:53:00,Spain,0,398.36
12460,456,1,296.65,2010-09-09 13:51:00,2010-09-09 13:51:00,Belgium,0,296.65
12461,155,1,626.88,2011-07-08 10:23:00,2011-07-08 10:23:00,Switzerland,0,626.88
12462,19,2,937.59,2011-02-09 14:44:00,2011-11-21 09:11:00,Spain,284,468.8
12463,53,4,1200.78,2011-04-12 12:47:00,2011-10-17 13:44:00,Belgium,188,300.2
12464,10,8,957.05,2011-02-03 13:30:00,2011-11-29 13:33:00,Belgium,299,119.63
12465,17,2,682.1899999999999,2011-06-23 13:37:00,2011-11-22 16:34:00,Belgium,152,341.1
12467,423,1,132.8,2010-10-12 15:41:00,2010-10-12 15:41:00,USA,0,132.8
12468,188,5,3238.74,2010-01-26 10:09:00,2011-06-05 11:36:00,Germany,495,647.75
12469,523,2,3070.54,2010-06-21 10:30:00,2010-07-05 12:40:00,Thailand,14,1535.27
12470,690,1,211.95,2010-01-19 11:01:00,2010-01-19 11:01:00,Unspecified,0,211.95
12471,2,71,35099.9,2009-12-07 10:41:00,2011-12-07 15:43:00,Germany,730,494.36
12472,32,19,14971.289999999999,2009-12-14 10:49:00,2011-11-07 14:01:00,Germany,693,787.96
12473,54,3,2585.73,2011-06-01 10:15:00,2011-10-17 11:27:00,Germany,138,861.91
12474,17,29,11310.75,2010-02-11 09:41:00,2011-11-22 14:39:00,Germany,649,390.03
12475,54,2,1065.64,2010-10-26 08:49:00,2011-10-17 10:10:00,Germany,356,532.82
12476,16,18,12319.91,2010-07-26 09:04:00,2011-11-24 12:40:00,Germany,486,684.44
12477,23,9,20276.37,2010-03-26 14:01:00,2011-11-17 09:51:00,Germany,600,2252.93
12478,4,1,545.99,2011-12-06 09:56:00,2011-12-06 09:56:00,Greece,0,545.99
12479,11,1,473.2,2011-11-28 13:26:00,2011-11-28 13:26:00,Germany,0,473.2
12480,28,7,4834.85,2010-07-20 13:21:00,2011-11-11 14:52:00,Germany,479,690.69
12481,23,14,11033.51,2010-04-11 13:10:00,2011-11-17 08:29:00,Germany,584,788.11
12482,576,27,21941.72,2010-02-24 10:24:00,2010-05-12 16:51:00,Sweden,77,812.66
12483,17,19,4069.1800000000003,2010-01-31 13:28:00,2011-11-22 17:02:00,Sweden,660,214.17
12484,35,9,5557.1,2010-01-27 16:41:00,2011-11-04 15:18:00,Spain,645,617.46
12485,529,1,708.1,2010-06-28 15:22:00,2010-06-28 15:22:00,Sweden,0,708.1
12486,432,1,917.28,2010-10-04 12:14:00,2010-10-04 12:14:00,Sweden,0,917.28
12487,731,1,285.29999999999995,2009-12-09 11:36:00,2009-12-09 11:36:00,Sweden,0,285.3
12488,10,3,1244.66,2011-09-25 10:34:00,2011-11-30 08:50:00,France,65,414.89
12489,336,1,298.93,2011-01-07 13:13:00,2011-01-07 13:13:00,France,0,298.93
12490,5,20,8764.64,2009-12-01 12:52:00,2011-12-04 16:07:00,France,733,438.23
12491,39,1,424.40000000000003,2011-11-01 12:18:00,2011-11-01 12:18:00,France,0,424.4
12492,63,3,607.21,2010-11-01 14:58:00,2011-10-07 15:15:00,Germany,340,202.4
12493,166,2,379.74,2011-05-26 14:53:00,2011-06-27 10:17:00,France,31,189.87
12494,16,9,1563.27,2010-05-12 13:52:00,2011-11-24 09:34:00,France,560,173.7
12495,641,1,277.4,2010-03-09 10:53:00,2010-03-09 10:53:00,Sweden,0,277.4
12496,620,2,45.34,2010-03-29 13:57:00,2010-03-29 14:06:00,Spain,0,22.67
12497,82,3,5996.5,2010-03-05 09:39:00,2011-09-19 12:29:00,Germany,563,1998.83
12498,21,3,349.70000000000005,2011-10-13 09:30:00,2011-11-18 12:53:00,Germany,36,116.57
12499,560,1,357.72,2010-05-28 15:12:00,2010-05-28 15:12:00,Germany,0,357.72
12500,23,18,5559.21,2010-02-04 15:05:00,2011-11-16 16:20:00,Germany,650,308.85
12501,337,1,2025.39,2011-01-07 12:28:00,2011-01-07 12:28:00,Germany,0,2025.39
12502,96,5,2995.87,2011-02-03 10:41:00,2011-09-05 11:52:00,Spain,214,599.17
12503,584,1,896.0,2010-05-04 13:59:00,2010-05-04 13:59:00,Spain,0,896.0
12504,18,4,689.05,2010-04-22 10:24:00,2011-11-21 16:02:00,Germany,578,172.26
12505,409,1,787.2,2010-10-27 09:18:00,2010-10-27 09:18:00,Italy,0,787.2
12506,233,1,73.5,2011-04-21 08:54:00,2011-04-21 08:54:00,France,0,73.5
12507,134,4,1508.06,2010-05-04 09:23:00,2011-07-28 17:09:00,Spain,450,377.02
12508,26,2,397.88,2011-11-10 16:27:00,2011-11-13 15:37:00,France,2,198.94
12509,284,1,158.5,2011-02-28 14:45:00,2011-02-28 14:45:00,France,0,158.5
12510,143,7,3039.03,2009-12-04 13:47:00,2011-07-20 10:15:00,Spain,592,434.15
12511,429,1,3084.02,2010-10-07 10:39:00,2010-10-07 10:39:00,Greece,0,3084.02
12512,66,2,132.18,2011-10-04 14:53:00,2011-10-04 14:55:00,Israel,0,66.09
12513,113,1,558.29,2011-08-19 10:51:00,2011-08-19 10:51:00,France,0,558.29
12514,267,2,1597.76,2010-03-08 12:18:00,2011-03-17 16:38:00,Italy,374,798.88
12515,353,1,278.7,2010-12-21 15:43:00,2010-12-21 15:43:00,Italy,0,278.7
12516,78,4,2288.62,2010-04-19 14:14:00,2011-09-23 09:13:00,Germany,521,572.16
12517,28,4,2301.6,2011-06-02 15:13:00,2011-11-11 13:57:00,Germany,161,575.4
12518,1,5,1840.89,2011-08-21 13:18:00,2011-12-09 10:13:00,Germany,109,368.18
12519,64,2,626.54,2010-08-20 08:21:00,2011-10-07 09:26:00,Germany,413,313.27
12520,79,5,2346.2599999999998,2011-03-11 11:35:00,2011-09-21 15:23:00,Germany,194,469.25
12521,143,1,545.68,2011-07-20 10:51:00,2011-07-20 10:51:00,Germany,0,545.68
12522,39,2,156.72,2011-10-19 14:41:00,2011-10-31 15:30:00,Germany,12,78.36
12523,19,23,4010.35,2009-12-07 13:46:00,2011-11-20 12:55:00,France,712,174.36
12524,9,17,9794.11,2010-02-08 14:41:00,2011-11-30 15:31:00,Germany,660,576.12
12525,498,3,883.73,2010-03-02 14:01:00,2010-07-29 16:08:00,France,149,294.58
12526,1,3,1172.66,2011-09-06 14:19:00,2011-12-09 12:09:00,Germany,93,390.89
12527,82,5,717.51,2010-06-28 15:37:00,2011-09-19 11:55:00,Germany,447,143.5
12528,9,6,1645.48,2011-01-31 09:05:00,2011-11-30 14:40:00,Germany,303,274.25
12529,528,1,316.48,2010-06-29 13:10:00,2010-06-29 13:10:00,France,0,316.48
12530,60,9,3381.26,2010-03-07 14:37:00,2011-10-11 12:34:00,Germany,582,375.7
12531,15,2,1771.2,2010-01-22 14:17:00,2011-11-25 11:12:00,Germany,671,885.6
12532,30,1,313.83000000000004,2011-11-09 13:47:00,2011-11-09 13:47:00,France,0,313.83
12533,628,2,1223.89,2009-12-01 11:50:00,2010-03-22 10:56:00,Germany,110,611.95
12534,131,1,981.18,2011-08-01 10:26:00,2011-08-01 10:26:00,Germany,0,981.18
12535,92,2,716.35,2011-06-06 12:47:00,2011-09-09 08:48:00,France,94,358.18
12536,59,1,4279.71,2011-10-11 14:52:00,2011-10-11 14:52:00,France,0,4279.71
12537,409,1,612.94,2010-10-27 08:36:00,2010-10-27 08:36:00,Sweden,0,612.94
12538,29,2,640.45,2010-11-26 13:02:00,2011-11-10 17:16:00,Spain,349,320.23
12539,22,7,11186.75,2009-12-23 13:00:00,2011-11-17 13:30:00,Spain,694,1598.11
12540,20,32,19250.49,2009-12-07 16:56:00,2011-11-20 11:31:00,Spain,712,601.58
12541,30,3,841.18,2011-03-04 09:32:00,2011-11-10 10:40:00,Spain,251,280.39
12542,484,2,481.88,2010-03-09 16:26:00,2010-08-12 19:12:00,Spain,156,240.94
12543,448,1,840.25,2010-09-17 15:51:00,2010-09-17 15:51:00,Spain,0,840.25
12544,36,1,316.7,2011-11-03 16:15:00,2011-11-03 16:15:00,Spain,0,316.7
12545,75,2,832.39,2011-03-25 12:04:00,2011-09-25 13:39:00,Spain,184,416.2
12546,47,2,1021.5,2011-09-23 09:44:00,2011-10-24 12:09:00,Spain,31,510.75
12547,198,3,299.58,2010-07-27 13:55:00,2011-05-26 12:38:00,Spain,302,99.86
12548,166,1,67.19999999999999,2011-06-26 15:35:00,2011-06-26 15:35:00,Spain,0,67.2
12549,576,5,1570.68,2010-01-11 12:29:00,2010-05-13 12:05:00,USA,121,314.14
12550,79,1,824.83,2011-09-21 14:35:00,2011-09-21 14:35:00,Spain,0,824.83
12551,358,1,168.0,2010-12-17 11:23:00,2010-12-17 11:23:00,Spain,0,168.0
12552,40,1,317.82,2011-10-31 12:11:00,2011-10-31 12:11:00,Italy,0,317.82
12553,8,12,4104.75,2010-10-12 13:35:00,2011-12-01 16:38:00,France,415,342.06
12554,449,1,384.5,2010-09-17 12:29:00,2010-09-17 12:29:00,Spain,0,384.5
12556,50,2,599.56,2011-07-11 13:35:00,2011-10-20 13:06:00,Spain,100,299.78
12557,16,8,18096.14,2009-12-17 10:39:00,2011-11-23 16:59:00,Spain,706,2262.02
12558,8,1,269.96,2011-12-02 10:41:00,2011-12-02 10:41:00,USA,0,269.96
12559,311,2,525.71,2011-01-24 10:12:00,2011-02-02 09:49:00,Germany,8,262.86
12560,5,2,1918.01,2011-07-19 15:55:00,2011-12-04 13:54:00,Germany,137,959.0
12561,303,1,238.85,2011-02-10 11:39:00,2011-02-10 11:39:00,Germany,0,238.85
12562,8,9,4426.92,2010-09-30 13:13:00,2011-12-01 17:20:00,France,427,491.88
12563,409,1,221.24,2010-10-27 09:52:00,2010-10-27 09:52:00,Italy,0,221.24
12564,261,1,402.9,2011-03-23 14:55:00,2011-03-23 14:55:00,France,0,402.9
12565,289,1,145.92,2011-02-24 10:34:00,2011-02-24 10:34:00,Saudi Arabia,0,145.92
12566,86,1,297.65,2011-09-14 14:30:00,2011-09-14 14:30:00,Germany,0,297.65
12567,23,15,10741.48,2010-02-11 10:30:00,2011-11-17 11:02:00,France,644,716.1
12568,645,1,52.0,2010-03-05 09:15:00,2010-03-05 09:15:00,Germany,0,52.0
12569,2,32,3152.69,2011-04-01 13:47:00,2011-12-07 16:24:00,Germany,250,98.52
12571,40,2,519.61,2011-08-10 12:35:00,2011-10-31 10:19:00,France,81,259.8
12572,9,2,912.42,2011-10-19 08:20:00,2011-12-01 09:20:00,Germany,43,456.21
12573,227,5,717.41,2010-08-31 17:25:00,2011-04-26 15:52:00,France,237,143.48
12574,316,1,182.45000000000002,2011-01-28 09:20:00,2011-01-28 09:20:00,France,0,182.45
12575,457,2,568.8199999999999,2010-07-01 09:15:00,2010-09-08 13:09:00,France,69,284.41
12576,36,8,2062.72,2010-07-01 13:46:00,2011-11-04 10:11:00,Poland,490,257.84
12577,35,8,1613.15,2009-12-03 19:31:00,2011-11-04 13:24:00,France,700,201.64
12578,21,4,4026.4500000000003,2010-09-22 11:19:00,2011-11-18 13:30:00,Italy,422,1006.61
12579,78,1,386.42,2011-09-22 17:15:00,2011-09-22 17:15:00,France,0,386.42
12580,247,2,962.9,2010-05-12 11:45:00,2011-04-07 10:24:00,Germany,329,481.45
12581,40,1,179.71,2011-10-31 08:56:00,2011-10-31 08:56:00,Germany,0,179.71
12582,239,4,1820.4,2010-05-11 09:55:00,2011-04-15 08:45:00,Finland,338,455.1
12583,3,27,12493.58,2009-12-06 11:57:00,2011-12-07 08:07:00,France,730,462.73
12584,4,9,2254.15,2011-03-04 15:15:00,2011-12-06 09:35:00,Italy,276,250.46
12585,234,2,1824.1,2010-12-23 12:58:00,2011-04-19 13:39:00,Germany,117,912.05
12586,17,4,2062.67,2009-12-16 13:15:00,2011-11-22 16:24:00,Italy,706,515.67
12587,8,1,104.0,2011-12-02 12:47:00,2011-12-02 12:47:00,Finland,0,104.0
12588,39,3,718.78,2010-04-21 12:22:00,2011-10-31 15:01:00,Finland,558,239.59
12589,29,6,3294.91,2010-01-19 12:26:00,2011-11-11 10:19:00,France,660,549.15
12590,211,1,9341.26,2011-05-12 14:46:00,2011-05-12 14:46:00,Germany,0,9341.26
12591,317,3,1114.95,2010-10-27 10:42:00,2011-01-26 14:35:00,Italy,91,371.65
12592,92,4,1723.6399999999999,2010-07-08 14:06:00,2011-09-08 15:04:00,Germany,427,430.91
12593,109,3,382.09999999999997,2011-05-05 09:29:00,2011-08-23 12:43:00,France,110,127.37
12594,38,14,4890.110000000001,2010-03-03 13:51:00,2011-11-02 12:20:00,Italy,608,349.29
12595,505,1,281.02,2010-07-23 09:10:00,2010-07-23 09:10:00,Germany,0,281.02
12596,51,2,450.27,2011-04-11 13:22:00,2011-10-19 13:02:00,Spain,190,225.14
12597,19,4,3195.22,2011-03-16 14:00:00,2011-11-20 13:33:00,Spain,248,798.8
12598,10,10,4192.09,2010-03-01 09:58:00,2011-11-30 12:18:00,France,639,419.21
12599,29,13,2026.72,2010-05-11 10:42:00,2011-11-10 13:34:00,France,548,155.9
12600,29,20,4385.85,2009-12-07 13:37:00,2011-11-11 10:29:00,Germany,703,219.29
12601,190,6,573.26,2010-10-31 10:57:00,2011-06-03 10:17:00,Germany,214,95.54
12602,59,1,153.12,2011-10-12 11:22:00,2011-10-12 11:22:00,France,0,153.12
12603,22,1,613.1999999999999,2011-11-18 10:42:00,2011-11-18 10:42:00,Germany,0,613.2
12604,79,2,236.18,2011-03-23 12:06:00,2011-09-21 14:08:00,France,182,118.09
12605,376,3,1124.95,2010-09-07 14:21:00,2010-11-28 14:18:00,Germany,81,374.98
12607,60,1,1579.51,2011-10-10 16:06:00,2011-10-10 16:06:00,USA,0,1579.51
12608,405,1,415.79,2010-10-31 10:49:00,2010-10-31 10:49:00,United Kingdom,0,415.79
12609,78,9,3021.86,2009-12-20 13:30:00,2011-09-22 16:34:00,Germany,641,335.76
12610,23,4,1747.54,2011-08-05 13:52:00,2011-11-17 09:34:00,Italy,103,436.88
12611,52,1,1193.32,2011-10-18 13:12:00,2011-10-18 13:12:00,Italy,0,1193.32
12612,74,1,668.0400000000001,2011-09-26 15:35:00,2011-09-26 15:35:00,Germany,0,668.04
12613,57,9,6277.37,2009-12-14 13:10:00,2011-10-13 14:59:00,Germany,668,697.49
12614,278,1,315.6,2011-03-07 10:22:00,2011-03-07 10:22:00,Germany,0,315.6
12615,2,8,5362.98,2010-03-18 14:09:00,2011-12-07 15:02:00,France,629,670.37
12616,95,3,1023.1,2010-11-16 11:38:00,2011-09-05 15:17:00,France,293,341.03
12617,29,1,352.98,2011-11-10 14:39:00,2011-11-10 14:39:00,France,0,352.98
12618,22,1,137.31,2011-11-18 11:10:00,2011-11-18 11:10:00,Italy,0,137.31
12619,16,9,3085.7,2010-05-28 12:52:00,2011-11-23 14:52:00,Germany,544,342.86
12620,15,3,1303.41,2011-05-19 12:10:00,2011-11-25 10:20:00,France,189,434.47
12621,2,35,22097.2,2010-02-09 12:01:00,2011-12-08 11:25:00,Germany,666,631.35
12622,232,1,162.1,2011-04-21 16:39:00,2011-04-21 16:39:00,Germany,0,162.1
12623,276,7,3315.84,2010-01-12 11:45:00,2011-03-08 13:50:00,Germany,420,473.69
12624,106,2,569.13,2011-06-15 12:34:00,2011-08-25 15:04:00,France,71,284.56
12625,212,4,4678.88,2010-04-22 11:33:00,2011-05-12 09:54:00,Germany,384,1169.72
12626,23,9,5954.48,2011-01-17 11:01:00,2011-11-16 16:06:00,Germany,303,661.61
12627,11,6,4082.53,2011-07-22 13:59:00,2011-11-29 12:07:00,Germany,129,680.42
12628,4,3,732.46,2011-10-06 09:28:00,2011-12-05 13:15:00,Germany,60,244.15
12629,386,2,1198.22,2010-10-12 16:40:00,2010-11-19 09:18:00,Sweden,37,599.11
12630,10,2,1030.88,2011-10-27 10:41:00,2011-11-30 10:48:00,Finland,34,515.44
12631,57,6,3321.57,2010-01-15 14:50:00,2011-10-13 13:53:00,Finland,635,553.6
12632,521,2,714.88,2010-05-24 09:07:00,2010-07-07 09:39:00,Germany,44,357.44
12633,59,7,5156.16,2010-07-02 11:44:00,2011-10-12 11:40:00,Germany,466,736.59
12634,548,1,360.0,2010-06-09 15:41:00,2010-06-09 15:41:00,USA,0,360.0
12635,90,4,2624.41,2010-09-09 10:50:00,2011-09-11 11:04:00,Germany,367,656.1
12637,67,12,8085.8099999999995,2010-06-14 13:36:00,2011-10-03 13:46:00,France,476,673.82
12638,33,2,681.49,2010-03-10 10:30:00,2011-11-06 13:11:00,Sweden,606,340.74
12639,239,3,1072.37,2010-03-22 09:05:00,2011-04-15 12:48:00,Sweden,389,357.46
12640,24,3,994.58,2011-09-19 12:01:00,2011-11-16 11:52:00,France,57,331.53
